x,y,vx,vy,I,L,R,J,LJ,RJ
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,-2.4560018,0,0,1725.2354,2002.2438
0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,4.255331,98.47793,4.3679943,-521.96466,-1105.9672
0,0,1,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,2,1,147.74127,0,213.45676,6.8935103,0,193.30371
0,0,2,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,2,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0
0,2,0,0,0,2699.1194,1236.4545,1804.8894,977.6309,-19.278313
0,2,0,1,0,170.09444,0,0,27.005226,31.282646
0,2,0,2,0,0,50.90857,469.77814,42.800613,1060.4749
0,2,1,0,-16.114763,57.379173,14.675352,129.01912,254.82251,-18.28115
0,2,1,1,0,17.760256,0,121.79743,111.46379,51.196938
0,2,1,2,0,127.664185,10.814111,576.0785,630.4806,92.31988
0,2,2,0,0,0,128.48578,146.37108,0,174.95233
0,2,2,1,0,0,59.07739,0,0,274.95676
0,2,2,2,0,0,30.788157,138.34804,0,435.01743
0,3,0,0,907.2821,-74.99649,1453.306,2355.7756,2033.5977,122.21143
0,3,0,1,0,0,0,0,0,0
0,3,0,2,0,0,0,1677.9065,0,3153.1357
0,3,1,0,-102.85571,-142.28192,-63.16029,-100.839294,-111.41493,-112.11731
0,3,1,1,0,-7.8834352,0,0,0,0
0,3,1,2,0,691.7218,87.44066,565.22363,692.22284,246.1643
0,3,2,0,0,0,-63.95509,12.29397,0,-48.36979
0,3,2,1,0,0,0,0,0,3.2161653
0,3,2,2,0,0,95.51301,0,135.46336,282.39914
0,4,0,0,-12.548036,295.34995,-30.847437,-42.657345,-61.422806,-25.963058
0,4,0,1,0,0,0,0,0,0
0,4,0,2,2334.9058,1.4393628,2.1100934,5682.1924,1330.7206,1118.5935
0,4,1,0,-95.140656,-139.03658,-91.40477,-105.388466,-126.19862,-125.23665
0,4,1,1,0,-2.056697,0,-17.325829,-17.872936,0
0,4,1,2,359.9154,280.66464,0,388.3859,459.60684,160.70895
0,4,2,0,0,0,-55.50003,6.4231462,-20.133085,-55.002205
0,4,2,1,0,0,0,0,0,0.07669711
0,4,2,2,0,118.795685,163.76909,0,0,280.60376
0,5,0,0,-20.566113,-37.748566,0,0,-21.211952,0
0,5,0,1,0,0,0,0,0,0
0,5,0,2,0,1974.2485,43.39502,1031.8016,2317.1697,3.9948218
0,5,1,0,-77.77047,-118.14255,-76.87819,-93.80812,-104.9431,-86.60108
0,5,1,1,-14.345395,-6.098136,-6.4862366,-29.86941,-39.50003,-6.510643
0,5,1,2,250.93918,197.07512,87.42954,257.44177,251.74168,124.535934
0,5,2,0,0,0,-13.314804,0,-10.466176,-17.830383
0,5,2,1,0,0,0,0,0,9.561949
0,5,2,2,0,63.953278,185.35168,0,0,276.22556
0,6,0,0,-1.6957219,-14.172989,0,0,-35.79324,0
0,6,0,1,0,0,0,0,0,0
0,6,0,2,0,0,0,0,987.3583,0
0,6,1,0,-45.440876,-15.721301,0,-7.3455667,-34.84864,-25.398232
0,6,1,1,0,0,0,0,-13.275019,0
0,6,1,2,0,0,0,0,2.1122534,0
0,6,2,0,0,0,-18.32927,0,-10.142576,0
0,6,2,1,0,0,0,0,0,0
0,6,2,2,0,0,0,0,3.5869212,0
0,7,0,0,-16.11492,0,390.38028,-20.285725,-29.222015,-25.631784
0,7,0,1,0,0,0,0,0,0
0,7,0,2,0,0,0,0,0,0
0,7,1,0,-24.052916,0,-21.134968,0,-28.865812,-5.4639688
0,7,1,1,0,0,0,0,0,0
0,7,1,2,0,0,0,0,0,0
0,7,2,0,0,0,-30.954454,0,-7.070529,-15.359804
0,7,2,1,0,0,0,0,0,0
0,7,2,2,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0
0,8,0,1,0,0,0,0,0,0
0,8,0,2,0,0,0,0,0,0
0,8,1,0,0,0,0,0,0,0
0,8,1,1,0,0,0,0,0,0
0,8,1,2,0,0,0,0,0,0
0,8,2,0,0,0,0,0,0,0
0,8,2,1,0,0,0,0,0,0
0,8,2,2,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0
0,9,0,1,0,0,0,0,0,0
0,9,0,2,0,0,0,0,0,0
0,9,1,0,0,0,0,0,0,0
0,9,1,1,0,0,0,0,0,0
0,9,1,2,0,0,0,0,0,0
0,9,2,0,0,0,0,0,0,0
0,9,2,1,0,0,0,0,0,0
0,9,2,2,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0
0,10,0,1,0,0,0,0,0,0
0,10,0,2,0,0,0,0,0,0
0,10,1,0,0,0,0,0,0,0
0,10,1,1,0,0,0,0,0,0
0,10,1,2,0,0,0,0,0,0
0,10,2,0,0,0,0,0,0,0
0,10,2,1,0,0,0,0,0,0
0,10,2,2,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0
0,11,0,1,0,0,0,0,0,0
0,11,0,2,0,0,0,0,0,0
0,11,1,0,0,0,0,0,0,0
0,11,1,1,0,0,0,0,0,0
0,11,1,2,0,0,0,0,0,0
0,11,2,0,0,0,0,0,0,0
0,11,2,1,0,0,0,0,0,0
0,11,2,2,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0
0,12,0,1,0,0,0,0,0,0
0,12,0,2,0,0,0,0,0,0
0,12,1,0,0,0,0,0,0,0
0,12,1,1,0,0,0,0,0,0
0,12,1,2,0,0,0,0,0,0
0,12,2,0,0,0,0,0,0,0
0,12,2,1,0,0,0,0,0,0
0,12,2,2,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0
0,13,0,1,0,0,0,0,0,0
0,13,0,2,0,0,0,0,0,0
0,13,1,0,0,0,0,0,0,0
0,13,1,1,0,0,0,0,0,0
0,13,1,2,0,0,0,0,0,0
0,13,2,0,0,0,0,0,0,0
0,13,2,1,0,0,0,0,0,0
0,13,2,2,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0
0,14,0,1,0,0,0,0,0,0
0,14,0,2,0,0,0,0,0,0
