x,y,vx,vy,I,L,R,J,LJ,RJ
0,0,0,0,0,0,0,0,0,0
0,0,0,1,544.29376,0,0,0,1055.816,1266.3254
0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,1,-45.277557,0.68688905,0.1900575,68.39746,-768.10156,250.52977
0,0,1,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,2,1,721.2452,40.849743,85.5813,0,122.1853,395.9974
0,0,2,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,2,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0
0,2,0,0,6336.851,7799.0303,7595.8403,7691.88,8136.2817,6753.7256
0,2,0,1,5492.247,6273.0996,5654.9595,6149.2285,7883.168,4232.0415
0,2,0,2,8191.88,7312.2173,6197.904,8100.586,8121.1655,6918.983
0,2,1,0,6471.4995,6702.4517,6450.246,6495.8535,6798.413,6417.6836
0,2,1,1,6490.958,6656.6504,5622.798,6808.4688,6754.1567,5959.3315
0,2,1,2,6699.504,6620.6094,6758.4683,6731.0493,6629.025,6728.3887
0,2,2,0,6060.1206,3918.7986,6689.5483,5987.5903,5872.514,6724.983
0,2,2,1,4792.998,2772.7788,6410.0146,5158.729,5077.46,6549.921
0,2,2,2,6370.38,4747.002,6619.7266,6418.0625,5994.019,6987.3135
0,3,0,0,5869.4814,6399.4346,6624.22,6225.408,6235.9155,5942.021
0,3,0,1,1388.1937,2059.801,1005.59717,2221.065,2731.962,1090.1509
0,3,0,2,7205.6987,7425.391,7389.72,7101.48,7097.0986,7528.1255
0,3,1,0,4643.3647,5097.48,5051.666,4736.7246,5320.083,5023.0825
0,3,1,1,1979.7035,3718.1184,2211.1753,4616.2334,4973.6367,3361.989
0,3,1,2,5661.336,5776.026,5844.5146,5805.3506,5758.4146,5708.516
0,3,2,0,4320.2095,3423.8044,5509.216,3372.0476,4174.5522,4612.142
0,3,2,1,662.60474,349.42572,4059.3135,970.127,0,2506.091
0,3,2,2,5690.942,5688.3066,5331.8403,5318.184,4668.036,5761.7417
0,4,0,0,2816.2783,3708.5457,3654.7007,3919.1387,3979.1138,3810.3108
0,4,0,1,343.5621,0,0,468.80194,965.8722,46.130558
0,4,0,2,5613.481,5632.6,5464.6055,5662.259,5464.9893,5608.123
0,4,1,0,2634.6738,2630.3032,2411.0925,2997.405,3521.995,2005.2971
0,4,1,1,764.1569,1656.0867,139.39188,2375.1663,2153.743,830.4425
0,4,1,2,3727.9849,3975.0825,4175.344,4110.042,3995.955,4064.3674
0,4,2,0,1417.0255,637.9336,2177.2734,963.43536,1855.342,2522.9912
0,4,2,1,717.9766,20.673964,263.11694,0,115.60636,475.07394
0,4,2,2,4221.467,3704.5698,4317.427,3743.9924,4233.2437,4369.4746
0,5,0,0,759.95935,1339.2542,993.5238,584.03375,1636.9196,886.18665
0,5,0,1,365.0495,213.3937,111.49936,271.16476,172.04616,264.14944
0,5,0,2,2777.0034,2986.4565,2700.6223,3198.0679,3270.6077,3217.2334
0,5,1,0,211.14032,182.12093,-297.28488,749.69037,272.59988,116.435326
0,5,1,1,-107.62786,43.779346,-883.07684,-189.50853,13.516987,-766.1173
0,5,1,2,1953.4225,1662.5084,1803.5879,1584.8217,1762.4697,883.96136
0,5,2,0,-986.3334,-803.7682,148.19516,-1152.8026,-376.45596,-709.2008
0,5,2,1,-995.0288,-902.1474,-890.53784,-1032.7128,-918.4448,-835.4203
0,5,2,2,1756.5055,1576.7567,1635.9413,1347.0438,1591.0159,1651.095
0,6,0,0,-241.01314,-457.4737,-444.26917,-261.51285,-353.53952,-389.84482
0,6,0,1,0,141.51387,10.97048,0,0,0
0,6,0,2,261.06198,596.98566,531.36926,253.28012,845.2895,238.62906
0,6,1,0,-2202.4895,-2195.0059,-2069.7717,-2204.552,-2269.7063,-2041.073
0,6,1,1,-475.852,-1048.838,-153.78624,-1126.1512,-865.9397,-295.7309
0,6,1,2,102.474815,66.64285,35.54251,245.2009,-59.942078,119.59351
0,6,2,0,-1613.0154,-1794.3368,-1779.3696,-1931.4388,-1778.0668,-2137.6387
0,6,2,1,-242.85872,0,-266.8028,0,-163.9757,-720.1305
0,6,2,2,4.8518023,0,56.06589,9.672884,14.818382,30.799551
0,7,0,0,103.65346,86.39653,38.41232,125.33012,-117.631744,155.01065
0,7,0,1,3.7465959,51.2724,123.12488,0,46.387524,0
0,7,0,2,1080.6068,461.0802,610.5792,1472.4501,1855.6301,1461.1926
0,7,1,0,-2127.2788,-2241.0854,-1723.3757,-1957.5454,-2212.5745,-1711.6763
0,7,1,1,0,-130.14172,-170.41971,-70.82601,-406.1896,-166.12926
0,7,1,2,203.3386,798.016,20.195242,1411.2147,719.7229,62.192528
0,7,2,0,-1547.3763,-1312.3085,-1568.9799,-1242.5985,-1315.1056,-2103.0918
0,7,2,1,0,0,0,-61.936035,0,0
0,7,2,2,61.554737,0,68.94994,168.38779,0,298.7662
0,8,0,0,253.11581,-92.98401,-82.49181,448.57886,-188.4631,159.5521
0,8,0,1,0,111.50751,0,42.85254,293.90265,197.43303
0,8,0,2,420.8299,504.41306,588.7797,454.76257,1719.6387,1250.2837
0,8,1,0,-1382.3917,-1395.8746,-882.29834,-1061.7947,-1100.5022,-1247.5083
0,8,1,1,-59.40722,-201.25131,-62.162468,-104.14839,-86.713974,-300.33246
0,8,1,2,-5.6217194,62.39978,107.21775,48.05963,137.08438,124.56139
0,8,2,0,-583.10956,-594.03925,-961.1225,-549.36365,-596.4689,-1159.0487
0,8,2,1,-10.055916,-13.348323,-2.366894,-9.391952,-13.414242,10.594103
0,8,2,2,60.956017,21.112148,0,0,48.26024,197.96213
0,9,0,0,0,0,0,0,0,0
0,9,0,1,0,0,0,0,0,0
0,9,0,2,0,0,0,0,0,0
0,9,1,0,0,0,0,0,0,0
0,9,1,1,0,0,0,0,0,0
0,9,1,2,0,0,0,0,0,0
0,9,2,0,0,0,0,0,0,0
0,9,2,1,0,0,0,0,0,0
0,9,2,2,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0
0,10,0,1,0,0,0,0,0,0
0,10,0,2,0,0,0,0,0,0
0,10,1,0,0,0,0,0,0,0
0,10,1,1,0,0,0,0,0,0
0,10,1,2,0,0,0,0,0,0
0,10,2,0,0,0,0,0,0,0
0,10,2,1,0,0,0,0,0,0
0,10,2,2,0,0,0,0,0,0
0,11,0,0,0,0,0,0,137.95918,0
0,11,0,1,0,0,0,0,0,0
0,11,0,2,0,0,0,0,926.5454,0
0,11,1,0,0,0,0,0,0,0
0,11,1,1,0,0,0,0,23.52246,0
0,11,1,2,663.91284,0,0,505.68585,26.530273,0
0,11,2,0,0,0,0,0,0,0
0,11,2,1,0,0,0,0,0,0
0,11,2,2,0,0,0,0,0,0
0,12,0,0,0,0,0,0,-351.8872,-167.34157
0,12,0,1,0,0,0,0,0,0
0,12,0,2,0,0,0,0,0,0
0,12,1,0,0,0,0,0,0,0
0,12,1,1,0,0,0,0,0,0
0,12,1,2,60.673306,447.3383,63.85276,635.96045,688.7556,0
0,12,2,0,-53.600365,0,-23.30752,0,-248.23347,-78.53345
0,12,2,1,0,0,3.6688385,0,0,0
0,12,2,2,0,0,37.27012,0,0,0
0,13,0,0,0,0,153.50974,0,0,0
0,13,0,1,0,0,0,0,0,0
0,13,0,2,0,0,0,0,0,0
0,13,1,0,0,0,-30.245295,0,0,-16.507298
0,13,1,1,-1.7900391,0,0,0,0,-1.7900391
0,13,1,2,0,67.807205,0,0,76.12135,0
0,13,2,0,0,0,-479.44797,0,0,-485.7586
0,13,2,1,0,0,0,0,0,0
0,13,2,2,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0
0,14,0,1,0,0,0,0,0,0
0,14,0,2,0,0,0,0,0,0
0,14,1,0,0,0,0,0,0,0
0,14,1,1,0,0,0,0,0,0
0,14,1,2,0,0,0,0,0,0
0,14,2,0,0,0,0,0,0,0
0,14,2,1,0,0,0,0,0,0
0,14,2,2,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0
0,15,0,1,0,0,0,0,0,0
0,15,0,2,0,0,0,0,0,0
0,15,1,0,0,0,0,0,0,0
0,15,1,1,0,0,0,0,0,0
0,15,1,2,0,0,0,0,0,0
0,15,2,0,0,0,0,0,0,0
0,15,2,1,0,0,0,0,0,0
0,15,2,2,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0
0,16,0,1,0,0,0,0,0,0
0,16,0,2,0,0,0,0,0,0
0,16,1,0,0,0,0,0,0,0
0,16,1,1,0,0,0,0,0,0
0,16,1,2,0,0,0,0,0,0
0,16,2,0,0,0,0,0,0,0
0,16,2,1,0,0,0,0,0,0
0,16,2,2,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0
0,17,0,1,0,0,0,0,0,0
0,17,0,2,0,0,0,0,0,0
0,17,1,0,0,0,0,0,0,0
0,17,1,1,0,0,0,0,0,0
0,17,1,2,0,0,0,0,0,0
0,17,2,0,0,0,0,0,0,0
0,17,2,1,0,0,0,0,0,0
0,17,2,2,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0
0,18,0,1,0,0,0,0,0,0
0,18,0,2,0,0,0,0,0,0
0,18,1,0,0,0,0,0,0,0
0,18,1,1,0,0,0,0,0,0
0,18,1,2,0,0,0,0,0,0
0,18,2,0,0,0,0,0,0,0
0,18,2,1,0,0,0,0,0,0
0,18,2,2,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0
0,19,0,1,0,0,0,0,0,0
0,19,0,2,0,0,0,0,0,0
0,19,1,0,0,0,0,0,0,0
0,19,1,1,0,0,0,0,0,0
0,19,1,2,0,0,0,0,0,0
0,19,2,0,0,0,0,0,0,0
0,19,2,1,0,0,0,0,0,0
0,19,2,2,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0
0,20,0,1,0,0,0,0,0,0
0,20,0,2,0,0,0,0,0,0
0,20,1,0,0,0,0,0,0,0
0,20,1,1,0,0,0,0,0,0
0,20,1,2,0,0,0,0,0,0
0,20,2,0,0,0,0,0,0,0
0,20,2,1,0,0,0,0,0,0
